~!~l, PROPN 
recombination, NOUN 
turbulent, ADJ 
flow, NOUN 
heat, NOUN 
transfer, NOUN 
ASME, PROPN 
Paper, PROPN 

, SPACE 
60, NUM 
WA-256, PROPN 

, SPACE 
Gostowski, PROPN 
V., PROPN 
J., PROPN 
Costello, PROPN 
F., PROPN 
A., NOUN 
1970, NUM 
effect, NOUN 
free, ADJ 
stream, NOUN 

, SPACE 
turbulence, NOUN 
heat, NOUN 
transfer, NOUN 
stagnation, NOUN 
point, NOUN 

, SPACE 
sphere, NOUN 
Int, ADJ 
J., PROPN 
Heat, PROPN 
Mass, PROPN 
Trans, PROPN 
13, NUM 
1382, NUM 
1386, NUM 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
4, NUM 
August, PROPN 
1996, NUM 
395, NUM 


, SPACE 
Flame, PROPN 
impingement, VERB 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 
C., PROPN 
E., PROPN 
Baukal, PROPN 
B., PROPN 
Gebhart, PROPN 

, SPACE 
Hargrave, PROPN 
G., PROPN 
K., PROPN 
Fairweather, PROPN 
M., PROPN 
Kilham, PROPN 
J., PROPN 
K., PROPN 
1987, NUM 
Forced, VERB 

, SPACE 
convective, ADJ 
heat, NOUN 
transfer, NOUN 
premixed, ADJ 
flames, NOUN 
2, NUM 
Impinge-, PRON 

, SPACE 
ment, ADJ 
heat, NOUN 
transfer, NOUN 
Int, ADJ 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
8, NUM 
132, NUM 
138, NUM 

, SPACE 
Hoogendoorn, PROPN 
C., PROPN 
J., PROPN 
Popiel, PROPN 
C., PROPN 
O., PROPN 
van, PROPN 
der, PROPN 
Meer, PROPN 
T., PROPN 
H., PROPN 
1978, NUM 

, SPACE 
Turbulent, ADJ 
heat, NOUN 
transfer, NOUN 
plane, NOUN 
surface, NOUN 
inimpingement, NOUN 
round, ADJ 

, SPACE 
premixed, ADJ 
flame, NOUN 
jets, NOUN 
Proc, PROPN 
6th, PROPN 
Int, PROPN 
Heat, PROPN 
Trans, PROPN 
Conf, PROPN 
Toronto, PROPN 
4, NUM 

, SPACE 
107, NUM 
112, NUM 

, SPACE 
Hottel, PROPN 
H., PROPN 
C., PROPN 
Sarofim, PROPN 
A., PROPN 
F., PROPN 
1967, NUM 
Radiative, PROPN 
Transfer, PROPN 
McGraw-, PROPN 

, SPACE 
Hill, PROPN 
New, PROPN 
York, PROPN 
Chapter, NOUN 
6, NUM 

, SPACE 
Hustad, PROPN 
J., PROPN 
E., PROPN 
R, PROPN 
~, PROPN 
kke, PROPN 
N., PROPN 
A., PROPN 
S¢nju, PROPN 
O., PROPN 
K., PROPN 
1991, NUM 
Heat, NOUN 
transfer, NOUN 

, SPACE 
pipes, NOUN 
submerged, VERB 
lifted, VERB 
buoyant, ADJ 
diffusion, NOUN 
flames, NOUN 
Experimen-, PROPN 

, SPACE 
tal, NOUN 
Heat, PROPN 
Transfer, PROPN 
Fluid, PROPN 
Mechanics, PROPN 
Thermodynamics, PROPN 
1991, NUM 

, SPACE 
J., PROPN 
F., PROPN 
Keffer, PROPN 
R., PROPN 
K., PROPN 
Shah, PROPN 
E., PROPN 
N., PROPN 
Ganic, PROPN 
eds, PROPN 
Elsevier, ADV 
New, PROPN 

, SPACE 
York, PROPN 
567, NUM 
574, NUM 

, SPACE 
Hustad, PROPN 
J., PROPN 
E., PROPN 
S¢nju, PROPN 
O., PROPN 
K., PROPN 
1991, NUM 
Heat, NOUN 
transfer, NOUN 
pipe, NOUN 
s, PART 
sub-, NOUN 

, SPACE 
merged, VERB 
turbulent, ADJ 
jet, NOUN 
diffusion, NOUN 
flames, NOUN 
Heat, PROPN 
Transfer, PROPN 

, SPACE 
Radiating, PROPN 
Combusting, PROPN 
Systems, PROPN 
Springer, PROPN 
Verlag, PROPN 
Berlin, PROPN 

, SPACE 
474, NUM 
490, NUM 

, SPACE 
Hustad, PROPN 
J., PROPN 
E., PROPN 
Jacobsen, PROPN 
M., PROPN 
Scnju, PROPN 
O., PROPN 
K., PROPN 
1992, NUM 
Radiation, NOUN 

, SPACE 
heat, NOUN 
transfer, NOUN 
oil, NOUN 
propane, NOUN 
jet, NOUN 
diffusion, NOUN 
flames, NOUN 
Inst, INTJ 
Chem, NOUN 

, SPACE 
Eng, PROPN 
Symp, PROPN 
Series, PROPN 
10, NUM 
657, NUM 
663, NUM 

, SPACE 
Ivernel, PROPN 
A., NOUN 
Vernotte, PROPN 
P., PROPN 
1979, NUM 
Etude, PROPN 
exp6rimentale, PROPN 
de, X 

, SPACE 
l'am61ioration, PROPN 
des, PROPN 
transferts, PROPN 
convectis, PROPN 
dans, PROPN 
les, PROPN 
fours, VERB 
par, PROPN 

, SPACE 
suroxygEnation, NOUN 
du, PROPN 
comburant, PROPN 
Rdv, PROPN 
Gen., PROPN 
Therm, PROPN 
210, NUM 
211, NUM 

, SPACE 
375, NUM 
391, NUM 
French, PROPN 

, SPACE 
Jackson, PROPN 
E., PROPN 
G., PROPN 
Kilham, PROPN 
J., PROPN 
K., PROPN 
1956, NUM 
Heat, NOUN 
transfer, NOUN 
combus-, ADJ 

, SPACE 
tion, NOUN 
products, NOUN 
forced, VERB 
convection, NOUN 
Ind., PROPN 
Eng, PROPN 
Chem, PROPN 
48, NUM 

, SPACE 
2077, NUM 
2079, NUM 

, SPACE 
Kataoka, PROPN 
K., PROPN 
Shundoh, PROPN 
H., PROPN 
Matsuo, PROPN 
H., PROPN 
1984, NUM 
Convective, ADJ 
heat, NOUN 

, SPACE 
transfer, NOUN 
flat, ADJ 
plate, NOUN 
jet, NOUN 
hot, ADJ 
gas, NOUN 
impinging, VERB 

, SPACE 
Drying, VERB 
84, NUM 
A., NOUN 
S., PROPN 
Mujumdar, PROPN 
ed, PROPN 
Hemisphere, PROPN 
Springer-, PROPN 

, SPACE 
Verlag, PROPN 
New, PROPN 
York, PROPN 
218, NUM 
227, NUM 

, SPACE 
Kataoka, PROPN 
K., PROPN 
1985, NUM 
Optimal, ADJ 
nozzle, NOUN 
plate, NOUN 
spacing, NOUN 
convective, ADJ 

, SPACE 
heat, NOUN 
transfer, NOUN 
nonisothermal, NOUN 
variable, ADJ 
density, NOUN 
impinging, VERB 
jets, NOUN 

, SPACE 
Drying, VERB 
Tech, PROPN 
3, NUM 
235, NUM 
254, NUM 

, SPACE 
Kilham, PROPN 
J., PROPN 
K., PROPN 
1949, NUM 
Energy, NOUN 
transfer, NOUN 
flame, NOUN 
gases, NOUN 
solids, NOUN 

, SPACE 
Symposium, PROPN 
Combustion, PROPN 
Flame, PROPN 
Explosion, PROPN 
Phe-, PROPN 

, SPACE 
nomena, NOUN 
Williams, PROPN 
Wilkins, PROPN 
Baltimore, PROPN 
MD, PROPN 
733, NUM 
740, NUM 

, SPACE 
Kremcr, PROPN 
H., PROPN 
Buhr, PROPN 
E., PROPN 
Haupt, PROPN 
R., PROPN 
1974, NUM 
Heat, NOUN 
transfer, NOUN 
turbu-, PROPN 

, SPACE 
lent, VERB 
free, ADJ 
jet, NOUN 
flames, NOUN 
plane, NOUN 
surfaces, NOUN 
Heat, PROPN 
Transfer, PROPN 
Flames, PROPN 
N., PROPN 
H., PROPN 
Afgan, PROPN 
J., PROPN 
M., PROPN 
Be6r, PROPN 
eds, PROPN 
Scripta, PROPN 
Washington, PROPN 
DC, PROPN 

, SPACE 
463, NUM 
472, NUM 

, SPACE 
Lewis, PROPN 
B., PROPN 
von, PROPN 
Elbe, PROPN 
G., PROPN 
1987, NUM 
Combustion, NOUN 
Flames, PROPN 
Explosions, NOUN 

, SPACE 
Gases, PROPN 
3rd, ADJ 
ed, NOUN 
Academic, PROPN 
Press, PROPN 
New, PROPN 
York, PROPN 
403, NUM 

, SPACE 
Matsuo, PROPN 
M., PROPN 
Hattori, PROPN 
M., PROPN 
Ohta, PROPN 
T., PROPN 
Kishimoto, PROPN 
S., PROPN 
1978, NUM 

, SPACE 
experimental, ADJ 
results, NOUN 
heat, NOUN 
transfer, NOUN 
flame, NOUN 
impingement, ADJ 

, SPACE 
Int, PROPN 
Flame, PROPN 
Research, PROPN 
Foundation, PROPN 
Report, PROPN 
F, PROPN 
29, NUM 
la/1, NOUN 
IJmuiden, PROPN 

, SPACE 
Netherlands, PROPN 

, SPACE 
McAdams, PROPN 
W., PROPN 
H., PROPN 
1954, NUM 
Heat, PROPN 
Transmission, PROPN 
McGraw, PROPN 
Hill, PROPN 
New, PROPN 
York, PROPN 

, SPACE 
268, NUM 

, SPACE 
Popiel, PROPN 
C., PROPN 
O., PROPN 
van, PROPN 
der, PROPN 
Meer, PROPN 
T., PROPN 
H., PROPN 
Hoogendoorn, PROPN 
C., PROPN 
J., PROPN 
1980, NUM 

, SPACE 
Convective, ADJ 
heat, NOUN 
transfer, NOUN 
plate, NOUN 
impinging, VERB 
round, ADJ 
hot, ADJ 
gas, NOUN 

, SPACE 
jet, NOUN 
low, ADJ 
Reynolds, PROPN 
Number, PROPN 
Int, ADJ 
J., PROPN 
Heat, PROPN 
Mass, PROPN 
Trans, PROPN 
23, NUM 

, SPACE 
1055, NUM 
1068, NUM 

, SPACE 
Rauenzahn, PROPN 
R., PROPN 
M., PROPN 
1986, NUM 
Analysis, NOUN 
rock, NOUN 
mechanics, NOUN 
gas, NOUN 
dynam-, NOUN 

, SPACE 
ics, NOUN 
flame, NOUN 
jet, NOUN 
thermal, ADJ 
spallation, NOUN 
drilling, NOUN 
Ph.D., NOUN 
thesis, NOUN 
Mas-, PROPN 

, SPACE 
sachusetts, PROPN 
Institute, PROPN 
Technology, PROPN 
Cambridge, PROPN 
MA, PROPN 

, SPACE 
Shorin, PROPN 
S., PROPN 
N., PROPN 
Pechurkin, PROPN 
V., PROPN 
A., NOUN 
1968, NUM 
Effectivnost, PROPN 
teploperenosa, NOUN 

, SPACE 
na, AUX 
poverkhnost, VERB 
plity, NOUN 
ot, PROPN 
vysokotemperaturnoi, PROPN 
strui, PROPN 
produktov, PROPN 

, SPACE 
sjoraniya, PROPN 
razlichnykh, PROPN 
gazov, PROPN 
Teoriya, PROPN 
Praktika, PROPN 
Szhiganiya, PROPN 
Gaza, PROPN 
4, NUM 

, SPACE 
134, NUM 
143, NUM 
Russian, PROPN 

, SPACE 
Sibulkin, PROPN 
M., PROPN 
1952, NUM 
Heat, NOUN 
transfer, NOUN 
near, ADP 
forward, ADJ 
stagnation, NOUN 
point, NOUN 

, SPACE 
body, NOUN 
revolution, NOUN 
J., PROPN 
Aero, PROPN 
Sci, PROPN 
19, NUM 
570, NUM 
571, NUM 

, SPACE 
Smith, PROPN 
R., PROPN 
B., PROPN 
Lowes, PROPN 
T., PROPN 
M., PROPN 
1974, NUM 
Convective, ADJ 
heat, NOUN 
transfer, NOUN 

, SPACE 
impinging, VERB 
tunnel, NOUN 
burner, NOUN 
flames, NOUN 
short, ADJ 
report, NOUN 
NG-4, ADJ 

, SPACE 
trials, NOUN 
Int, ADJ 
Flame, PROPN 
Research, PROPN 
Foundation, PROPN 
Report, PROPN 
F, PROPN 
35, NUM 
a/9, NOUN 

, SPACE 
IJmuiden, PROPN 
Netherlands, PROPN 

, SPACE 
Vizioz, PROPN 
J., PROPN 
-P., PROPN 
Lowes, PROPN 
T., PROPN 
M., PROPN 
1971, NUM 
Convective, ADJ 
heat, NOUN 
transfer, NOUN 

, SPACE 
impinging, VERB 
flame, NOUN 
jets, NOUN 
Int, ADJ 
Flame, PROPN 
Research, PROPN 
Foundation, PROPN 
Report, PROPN 
F, PROPN 

, SPACE 
35, NUM 
a/6, NOUN 
IJmuiden, PROPN 
Netherlands, PROPN 

, SPACE 
Woodruff, PROPN 
L., PROPN 
W., PROPN 
Giedt, PROPN 
W., PROPN 
H., PROPN 
1966, NUM 
Heat, NOUN 
transfer, NOUN 
measurements, NOUN 

, SPACE 
partially, ADV 
dissociated, VERB 
gas, NOUN 
high, ADJ 
Lewis, PROPN 
number, NOUN 
J., PROPN 
Heat, PROPN 

, SPACE 
Trans, PROPN 
88, NUM 
415, NUM 
420, NUM 

, SPACE 
H.-Z., NOUN 
1985, NUM 
Investigation, NOUN 
fire, NOUN 
plume, NOUN 
impingement, VERB 
hori-, NOUN 

, SPACE 
zontal, ADJ 
ceiling, NOUN 
2, NUM 
Impingement, ADJ 
ceiling, NOUN 
jet, NOUN 
regions, NOUN 
Fire, PROPN 

, SPACE 
Mater, PROPN 
9, NUM 
46, NUM 
56, NUM 

, SPACE 
Zukauskas, PROPN 
A., PROPN 
Ziugzda, PROPN 
J., PROPN 
1985, NUM 
Heat, NOUN 
Transfer, PROPN 
Crossflow, PROPN 

, SPACE 
Hemisphere, PROPN 
Bristol, PROPN 
PA, PROPN 
88, NUM 

, SPACE 
396, NUM 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
4, NUM 
August, PROPN 
1996, NUM 


, SPACE 
